name,address,phone,url,category
"Barnavårdscentral Bollnäs hälsocentral","Läroverksgatan 47, 821 33 Bollnäs","0278-62 22 00","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Bollnas-halsocentral/","vardcentral"
"Bollnäs hälsocentral","Sjukhusvägen 81, 821 31 Bollnäs","0278-62 22 00","https://www.1177.se/hitta-vard/kontaktkort/Bollnas-halsocentral/","vardcentral"
"Backens hälsocentral","Manusgränd 3, 901 24 Umeå","090-785 44 43","https://www.1177.se/hitta-vard/kontaktkort/Backens-halsocentral/","vardcentral"
"Holmsunds hälsocentral","Himmelska Fridens Torg 7, 913 31 Holmsund","090-785 91 03","https://www.1177.se/hitta-vard/kontaktkort/Holmsunds-halsocentral/","vardcentral"
"Tegs hälsocentral","Tegsplan 2C, 904 20 Umeå","090-785 44 56","https://www.1177.se/hitta-vard/kontaktkort/Tegs-halsocentral/","vardcentral"
"Husläkarna Hälsocentral i Umeå","Storgatan 28 B, 903 21 Umeå","090-785 93 88","https://www.1177.se/hitta-vard/kontaktkort/Huslakarna-Halsocentral-i-Umea/","vardcentral"
"Capio hälsocentral Dragonen","Ridvägen 12, 903 25 Umeå","090-785 91 48","https://www.1177.se/hitta-vard/kontaktkort/Capio-halsocentral-Dragonen/","vardcentral"
"Citymottagningen hälsocentral","Nygatan 19B, 903 27 Umeå","090-785 93 21","https://www.1177.se/hitta-vard/kontaktkort/Citymottagningen-halsocentral/","vardcentral"
"Barnavårdscentral Linden Din hälsocentral","C D Ekmans Väg 37, 820 23 Bergvik","0270-772 82","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Linden-Din-halsocentral/","vardcentral"
"Linden Din hälsocentral","C D Ekmans Väg 37, 826 67 Bergvik","0270-733 99","https://www.1177.se/hitta-vard/kontaktkort/Linden-Din-halsocentral/","vardcentral"
"Svegs hälsocentral","Herrögatan 31, 842 34 Sveg","0680-166 00","https://www.1177.se/hitta-vard/kontaktkort/Svegs-halsocentral/","vardcentral"
"Capio Hälsocentral Norrlandskliniken","Glimmervägen 5 E, 907 40 Umeå","090-785 93 22","https://www.1177.se/hitta-vard/kontaktkort/Capio-Halsocentral-Norrlandskliniken/","vardcentral"
"Primärvårdsjour Umeå","Tvistevägen 2, 907 36 Umeå","1177","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsjour-Umea/","vardcentral"
"Ålidhems hälsocentral","Tvistevägen 2, 907 36 Umeå","090-785 44 58","https://www.1177.se/hitta-vard/kontaktkort/Alidhems-halsocentral/","vardcentral"
"Barnavårdscentral Alfta Din hälsocentral","Stationsgatan 3, 822 30 Alfta","0271-196 00","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Alfta-Din-halsocentral/","vardcentral"
"Alfta Din hälsocentral","Stationsgatan 3, 822 30 Alfta","0271-196 00","https://www.1177.se/hitta-vard/kontaktkort/Alfta-Din-halsocentral/","vardcentral"
"Voxnadalens hälsocentral","Långgatan 59, 822 30 Alfta","0271-555 00","https://www.1177.se/hitta-vard/kontaktkort/Voxnadalens-halsocentral/","vardcentral"
"Mariehems hälsocentral","Morkullevägen 9, 906 51 Umeå","090-785 44 44","https://www.1177.se/hitta-vard/kontaktkort/Mariehems-halsocentral/","vardcentral"
"Ersboda hälsocentral","Hälsogränd 3, 906 25 Umeå","090-785 44 57","https://www.1177.se/hitta-vard/kontaktkort/Ersboda-halsocentral/","vardcentral"
"Barnavårdscentral Edsbyn Din hälsocentral","Sporthallsvägen 2, 828 33 Edsbyn","0271-272 56","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Edsbyn-Din-halsocentral/","vardcentral"
"Edsbyn Din hälsocentral","Sporthallsvägen 2, 828 33 Edsbyn","0271-272 50","https://www.1177.se/hitta-vard/kontaktkort/Edsbyn-Din-halsocentral/","vardcentral"
"Kilafors Din hälsocentral","Stationsgatan 2, 823 30 Kilafors","0278-388 50","https://www.1177.se/hitta-vard/kontaktkort/Kilafors-Din-halsocentral/","vardcentral"
"Barnavårdscentral Kilafors Din hälsocentral","Stationsgatan 2, 823 30 Kilafors","0278-388 80","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Kilafors-Din-halsocentral/","vardcentral"
"Vindelns hälsocentral","Storvägen 56, 922 31 Vindeln","090-785 44 42","https://www.1177.se/hitta-vard/kontaktkort/Vindelns-halsocentral/","vardcentral"
"Barnmorskemottagning Vindelns hälsocentral","Storvägen 56, 922 31 Vindeln","0933-138 11","https://www.1177.se/hitta-vard/kontaktkort/Barnmorskemottagning-Vindelns-halsocentral/","vardcentral"
"Barnhälsovård Vindelns hälsocentral","Storvägen 56, 922 31 Vindeln","090-785 44 42","https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovard-Vindelns-halsocentral/","vardcentral"
"Barnhälsovård Sävar hälsocentral","Kungsvägen 4A, 918 31 Sävar","090-785 44 47","https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovard-Savar-halsocentral/","vardcentral"
"Barnmorskemottagning Sävar hälsocentral","Kungsvägen 4 A, 918 31 Sävar","090-785 44 47","https://www.1177.se/hitta-vard/kontaktkort/Barnmorskemottagning-Savar-halsocentral/","vardcentral"
"Sävar hälsocentral","Kungsvägen 8A, 918 31 Sävar","090-785 44 47","https://www.1177.se/hitta-vard/kontaktkort/Savar-halsocentral/","vardcentral"
"Vilhelmina sjukstuga hälsocentral","Volgsjövägen 37, 912 32 Vilhelmina","090-785 91 25","https://www.1177.se/hitta-vard/kontaktkort/Vilhelmina-sjukstuga-halsocentral/","vardcentral"
"Medicinkonsulten hälsocentral","Skolgatan 8, 921 31 Lycksele","090-785 93 80","https://www.1177.se/hitta-vard/kontaktkort/Medicinkonsulten-halsocentral/","vardcentral"
"Stenbergska hälsocentral","Johan Skyttes väg 6, 921 24 Lycksele","090-785 44 48","https://www.1177.se/hitta-vard/kontaktkort/Stenbergska-halsocentral/","vardcentral"
"Järpens hälsocentral","Skolvägen 29, 837 31 Järpen","0647-165 50","https://www.1177.se/hitta-vard/kontaktkort/Jarpens-halsocentral/","vardcentral"
"Barnavårdscentral Hamrånge Din hälsocentral","Solbergsvägen 5, 817 40 Bergby","0297-101 91","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Hamrange-Din-halsocentral/","vardcentral"
"Hamrånge Din hälsocentral","Solbergsvägen 5, 817 40 Bergby","0297-101 91","https://www.1177.se/hitta-vard/kontaktkort/Hamrange-Din-halsocentral/","vardcentral"
"Barnavårdscentral Ockelbo Din hälsocentral","Sjöängsvägen 26, 816 30 Ockelbo","0297-57 25 27","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Ockelbo-Din-halsocentral/","vardcentral"
"Ockelbo Din hälsocentral","Sjöängsvägen 26, 816 30 Ockelbo","0297-57 25 00","https://www.1177.se/hitta-vard/kontaktkort/Ockelbo-Din-halsocentral/","vardcentral"
"Åre hälsocentral","Kurortsvägen 20, 837 51 Åre","0647-166 00","https://www.1177.se/hitta-vard/kontaktkort/Are-halsocentral/","vardcentral"
"Byfilialen Åre hälsocentral","Stationsvägen 9 A, 837 52 Åre","0647-166 00","https://www.1177.se/hitta-vard/kontaktkort/Byfilialen-Are-halsocentral/","vardcentral"
"Barnhälsovård Robertsfors hälsocentral","Fabriksvägen 3, 915 32 Robertsfors","090-785 91 21","https://www.1177.se/hitta-vard/kontaktkort/Barnhalsovard-Robertsfors-halsocentral/","vardcentral"
"Barnmorskemottagning Robertsfors hälsocentral","Fabriksvägen 3, 915 32 Robertsfors","090-785 91 21","https://www.1177.se/hitta-vard/kontaktkort/Barnmorskemottagning-Robertsfors-halsocentral/","vardcentral"
"Robertsfors hälsocentral","Fabriksvägen 3, 915 32 Robertsfors","090-785 91 21","https://www.1177.se/hitta-vard/kontaktkort/Robertsfors-halsocentral/","vardcentral"
"Hälsocentralen Renen, Duved","Karolinervägen 9, 837 71 Duved","0647-28 37 80","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Renen-Duved/","vardcentral"
"Barnavårdscentral Strömsbro Din hälsocentral","Gamla Bönavägen 19, 806 46 Gävle","026-15 77 50","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Stromsbro-Din-halsocentral/","vardcentral"
"Strömsbro Din hälsocentral","Gamla Bönavägen 19, 806 46 Gävle","026-15 77 50","https://www.1177.se/hitta-vard/kontaktkort/Stromsbro-Din-halsocentral/","vardcentral"
"Barnavårdscentral Sätra Din hälsocentral","Rullstensvägen 1, 806 31 Gävle","026-15 77 77","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Satra-Din-halsocentral/","vardcentral"
"Sätra Din hälsocentral","Norrbågen 32, 806 31 Gävle","026-15 77 77","https://www.1177.se/hitta-vard/kontaktkort/Satra-Din-halsocentral/","vardcentral"
"Primärvårdsrehabilitering Orsa","Kaplansgatan 19, Orsa","0250-49 88 48","https://www.1177.se/hitta-vard/kontaktkort/Primarvardsrehabilitering-Orsa/","vardcentral"
"Vårdcentral Orsa","Kaplansgatan 19, Orsa","0250-49 88 00","https://www.1177.se/hitta-vard/kontaktkort/Vardcentral-Orsa/","vardcentral"
"Hälsocentralen Sjöstaden","Alderholmsgatan 7, 803 02 Gävle","026-19 31 31","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-Sjostaden/","vardcentral"
"Barnavårdscentral Gävle Strand Din hälsocentral","Norra Skeppsbron 13 A, 803 10 Gävle","026-63 70 00","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Gavle-Strand-Din-halsocentral/","vardcentral"
"Gävle Strand Din hälsocentral","Norra Skeppsbron 13 A, 803 10 Gävle","026-63 70 00","https://www.1177.se/hitta-vard/kontaktkort/Gavle-Strand-Din-halsocentral/","vardcentral"
"Familjeläkarjour Gävle","Lasarettsvägen 1, 801 88 Gävle","1177","https://www.1177.se/hitta-vard/kontaktkort/Familjelakarjour-Gavle/","vardcentral"
"Capio Barnavårdcentral Bomhus","Solgårdsgatan 2, Gävle","026-450 47 50","https://www.1177.se/hitta-vard/kontaktkort/Capio-Barnavardcentral-Bomhus/","vardcentral"
"Capio Hälsocentral Bomhus","Solgårdsgatan 2, 804 30 Gävle","026-450 47 50","https://www.1177.se/hitta-vard/kontaktkort/Capio-Halsocentral-Bomhus/","vardcentral"
"Hälsocentralen City","Drottninggatan 29, 803 11 Gävle","026-65 03 00","https://www.1177.se/hitta-vard/kontaktkort/Halsocentralen-City/","vardcentral"
"Eira hälsocentral","Eira hälsocentral, Slottstorget 3, 802 50 Gävle","026-60 09 09","https://www.1177.se/hitta-vard/kontaktkort/Eira-halsocentral/","vardcentral"
"Barnavårdscentral Eira hälsocentral","Eira hälsocentral, Slottstorget 5 A, 802 50 Gävle","026-60 09 09","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Eira-halsocentral/","vardcentral"
"Capio barnavårdscentral Brynäs","Eriksbergsgatan 18, 802 84 Gävle","","https://www.1177.se/hitta-vard/kontaktkort/Capio-barnavardscentral-Brynas/","vardcentral"
"Capio Hälsocentral Brynäs","Eriksbergsgatan 18, 802 84 Gävle","026-450 48 00","https://www.1177.se/hitta-vard/kontaktkort/Capio-Halsocentral-Brynas/","vardcentral"
"Barnavårdscentral Södertull Din hälsocentral","Kaserngatan 48, 802 53 Gävle","026-15 55 31","https://www.1177.se/hitta-vard/kontaktkort/Barnavardscentral-Sodertull-Din-halsocentral/","vardcentral"
